id1,american,junior-schooling,m,married,26-35,working,156000-365000,2,above-5,yes,yes,no,two.wheel,own.hous.l,publ.comp,entertainment,edu.sci,IAB11
id2,pacific,junior-schooling,m,married,18-25,working,55000-155000,2,2-3,yes,no,no,public,own.hous,wrk.comp,entertainment,ent.soc,IAB17
id3,black,secondary-schooling,f,single,46-55,searching,55000-155000,above-3,3-5,yes,no,yes,four.wheel,rent.hous,mobile,news,edu.sci,IAB12
id4,latin,secondary-schooling,m,married,18-25,buisness,below 55000,1,3-5,yes,no,yes,public,rent.hous,publ.comp,entertainment,edu.sci,IAB02
id5,asian,masters,m,widowed,26-35,searching,above 865000,2,3-5,yes,yes,yes,public,own.hous,wrk.comp,work,edu.sci,IAB21
id6,asian,secondary-schooling,m,divorced,36-45,searching,366000-635000,3,3-5,yes,no,yes,two.wheel,own.hous.l,mobile,entertainment,profession,IAB03
id7,american,primary-schooling,m,divorced,18-25,working,636000-865000,2,2-3,no,yes,yes,public,rent.hous,mobile,video.cal,others,IAB25
id8,black,junior-schooling,m,married,18-25,working,55000-155000,1,3-5,yes,yes,yes,two.wheel,own.hous.l,mobile,entertainment,others,IAB25
id9,american,secondary-schooling,m,widowed,18-25,searching,636000-865000,1,3-5,yes,no,yes,two.wheel,own.hous.l,publ.comp,entertainment,ent.soc,IAB17
id10,latin,junior-schooling,f,widowed,26-35,searching,below 55000,2,2-3,no,no,yes,public,rent.hous,publ.comp,entertainment,edu.sci,IAB15
id11,white,primary-schooling,m,married,18-25,working,636000-865000,1,2-3,yes,no,yes,public,own.hous,mobile,entertainment,personal,IAB23
id12,asian,masters,m,live-in,18-25,working,below 55000,1,3-5,yes,no,yes,public,other,publ.comp,video.cal,ent.soc,IAB17
id13,american,primary-schooling,f,single,26-35,searching,below 55000,1,above-5,no,no,yes,walk,rent.hous,wrk.comp,work,others,IAB25
id14,black,primary-schooling,f,divorced,below.18,military,below 55000,above-3,1,yes,yes,yes,public,own.hous.l,mobile,news,profession,IAB03
id15,black,masters,m,single,26-35,buisness,156000-365000,1,3-5,yes,no,no,public,own.hous.l,publ.comp,entertainment,profession,IAB04
id16,black,junior-schooling,m,single,below.18,buisness,above 865000,1,2-3,yes,no,yes,two.wheel,own.hous.l,mobile,entertainment,edu.sci,IAB15
id17,white,junior-schooling,m,widowed,36-45,military,below 55000,2,2-3,yes,no,no,public,own.hous.l,hom.comp,news,others,IAB24
id18,latin,secondary-schooling,m,married,18-25,buisness,156000-365000,2,3-5,no,yes,yes,two.wheel,own.hous,publ.comp,entertainment,ent.soc,IAB20
id19,latin,junior-schooling,m,married,36-45,buisness,55000-155000,2,3-5,yes,no,no,two.wheel,own.hous.l,mobile,entertainment,ent.soc,IAB17
id20,american,primary-schooling,m,single,46-55,none,636000-865000,1,above-5,no,yes,yes,two.wheel,rent.hous,mobile,entertainment,profession,IAB05
id21,latin,secondary-schooling,f,married,18-25,buisness,366000-635000,1,2-3,no,no,yes,four.wheel,other,mobile,entertainment,personal,IAB17
id22,pacific,bachelors,f,single,26-35,working,above 865000,1,above-5,no,no,no,public,own.hous,hom.comp,work,others,IAB25
id23,asian,masters,m,married,18-25,searching,above 865000,1,above-5,yes,no,no,public,own.hous.l,wrk.comp,work,edu.sci,IAB21
id24,american,no-schooling,m,single,18-25,searching,55000-155000,3,2-3,yes,no,yes,two.wheel,rent.hous,mobile,video.cal,profession,IAB03
id25,american,secondary-schooling,m,married,18-25,working,above 865000,1,3-5,yes,no,yes,two.wheel,rent.hous,mobile,entertainment,personal,IAB12
id26,white,no-schooling,m,live-in,18-25,buisness,55000-155000,2,3-5,yes,no,no,public,own.hous,publ.comp,entertainment,edu.sci,IAB11
id27,asian,secondary-schooling,m,divorced,36-45,military,55000-155000,3,3-5,yes,no,no,walk,rent.hous,mobile,entertainment,edu.sci,IAB02
id28,white,bachelors,m,single,18-25,working,366000-635000,3,1,yes,no,yes,two.wheel,own.hous,mobile,work,personal,IAB12
id29,pacific,primary-schooling,f,married,below.18,searching,below 55000,1,2-3,yes,yes,yes,public,own.hous,mobile,news,edu.sci,IAB15
